"p_cens","n","tempo","preditor","modelo","vicio","eqm"
0.25,500,1,0,"RSF",0.000444518369211216,0.00057460093725293
0.25,500,1,0,"XGBoost",-0.17003608369531,0.032358420591124
0.25,500,1,1,"RSF",0.00137412551854396,0.000650355633620406
0.25,500,1,1,"XGBoost",-0.220776361260726,0.0512002948057886
0.25,500,3,0,"RSF",0.000513085868491385,0.000874242021279799
0.25,500,3,0,"XGBoost",-0.240691587731386,0.062590814144814
0.25,500,3,1,"RSF",0.00033535131435447,0.000885581439340538
0.25,500,3,1,"XGBoost",-0.250611615722943,0.0658683447675747
0.25,500,5,0,"RSF",-0.000477604512237307,0.00107331188534493
0.25,500,5,0,"XGBoost",-0.261789590635558,0.0755466065628011
0.25,500,5,1,"RSF",-0.000817404949084369,0.00106629076690377
0.25,500,5,1,"XGBoost",-0.265436956306833,0.0749306094535683
0.25,1000,1,0,"RSF",0.000106827622164958,0.000327628783753813
0.25,1000,1,0,"XGBoost",-0.177423908184861,0.0343172174168758
0.25,1000,1,1,"RSF",-0.000230126370848671,0.000333629426885243
0.25,1000,1,1,"XGBoost",-0.220794198185882,0.0507146470866317
0.25,1000,3,0,"RSF",-0.000379674846650447,0.000452455669454351
0.25,1000,3,0,"XGBoost",-0.251735331041036,0.0677503663317877
0.25,1000,3,1,"RSF",-0.000558638820996649,0.000435200269189871
0.25,1000,3,1,"XGBoost",-0.247020415956663,0.0642261703626459
0.25,1000,5,0,"RSF",-0.000127183805103781,0.000464204691604607
0.25,1000,5,0,"XGBoost",-0.277489182975532,0.0833947242259066
0.25,1000,5,1,"RSF",-0.000572733860320843,0.000478143737820235
0.25,1000,5,1,"XGBoost",-0.256624508149957,0.0706472925992003
0.25,2500,1,0,"RSF",0.000178805901635032,0.000124448756437664
0.25,2500,1,0,"XGBoost",-0.189269440821506,0.0386762481723539
0.25,2500,1,1,"RSF",-6.43934182029456e-05,0.000117732276060667
0.25,2500,1,1,"XGBoost",-0.213757255755766,0.0477349496858747
0.25,2500,3,0,"RSF",0.000753467436221041,0.000168262511492041
0.25,2500,3,0,"XGBoost",-0.2681732277549,0.0769811878939136
0.25,2500,3,1,"RSF",0.000716936690118752,0.000175554906609604
0.25,2500,3,1,"XGBoost",-0.233592522870332,0.0586208481594561
0.25,2500,5,0,"RSF",-0.00032781101786964,0.000206777439479015
0.25,2500,5,0,"XGBoost",-0.304682298479463,0.0998346562687749
